timestamp_local,t_min,P_kW
2024-06-18 09:58:00,131,6.8286
2024-06-18 09:59:00,132,6.8847
2024-06-18 10:00:00,133,6.7991
2024-06-18 10:01:00,134,6.8704
2024-06-18 10:02:00,135,6.8676
2024-06-18 10:03:00,136,6.703
2024-06-18 10:04:00,137,6.8957
2024-06-18 10:05:00,138,6.4915
2024-06-18 10:06:00,139,7.5577
2024-06-18 10:07:00,140,6.0683
2024-06-18 10:08:00,141,2.3652
2024-06-18 10:09:00,142,2.4819
2024-06-18 10:10:00,143,2.2784
2024-06-18 10:11:00,144,2.4985
2024-06-18 10:12:00,145,2.5716
2024-06-18 10:13:00,146,1.7591
2024-06-18 10:14:00,147,1.7598
2024-06-18 10:15:00,148,1.7579
2024-06-18 10:16:00,149,1.7608
