date,time,quantity
2024-04-15,15:00,160
2024-04-16,22:00,160
2024-04-16,22:00,150
2024-04-17,15:00,150
2024-04-17,22:00,140
2024-04-18,22:00,160
2024-04-19,15:00,130
2024-04-22,15:00,120
2024-04-22,15:00,120
2024-04-23,15:00,130
2024-04-23,22:00,120
2024-04-23,15:00,100
2024-04-24,22:00,120
2024-04-24,15:00,150
2024-04-25,22:00,100
2024-04-25,22:00,100
2024-04-26,22:00,130
2024-04-29,22:00,130
2024-04-30,22:00,130
2024-05-02,15:00,100
2024-05-03,22:00,100
2024-05-06,15:00,140
2024-05-07,15:00,160
2024-05-08,22:00,130
2024-05-08,15:00,170
2024-05-10,15:00,120
2024-05-13,15:00,110
2024-05-13,22:00,170
2024-05-14,15:00,100
2024-05-14,22:00,110
2024-05-14,15:00,130
2024-05-15,22:00,100
2024-05-16,15:00,140
2024-05-16,22:00,130
2024-05-16,15:00,140
2024-05-17,22:00,180
2024-05-17,15:00,120
2024-05-17,15:00,90
2024-05-21,15:00,100
2024-05-22,15:00,150
2024-05-22,22:00,100
2024-05-23,15:00,120
2024-05-24,22:00,120
2024-05-24,15:00,140
2024-05-27,15:00,80
2024-05-27,22:00,80
2024-05-28,15:00,100
2024-05-29,22:00,160
2024-05-29,15:00,60
2024-05-31,22:00,180
2024-06-03,15:00,170
2024-06-04,22:00,120
2024-06-04,15:00,130
2024-06-05,22:00,150
2024-06-05,22:00,130
2024-06-06,15:00,130
2024-06-06,22:00,140
2024-06-07,15:00,110
2024-06-07,15:00,110
2024-06-07,15:00,170
2024-06-10,22:00,140
2024-06-11,22:00,180
2024-06-11,22:00,170
2024-06-12,15:00,150
2024-06-13,15:00,120
2024-06-14,22:00,80
2024-06-14,22:00,120
2024-06-17,15:00,120
2024-06-17,22:00,140
2024-06-17,15:00,120
2024-06-18,22:00,150
2024-06-18,22:00,160
2024-06-18,15:00,150
2024-06-19,22:00,140
2024-06-20,22:00,150
2024-06-20,22:00,120
2024-06-20,15:00,150
2024-06-21,15:00,110
2024-06-21,22:00,160
2024-06-24,15:00,130
2024-06-24,22:00,140
2024-06-25,15:00,110
2024-06-25,22:00,170
2024-06-26,15:00,100
2024-06-26,15:00,120
2024-06-27,15:00,100
2024-06-28,15:00,70
2024-06-28,15:00,110
2024-07-01,22:00,120
2024-07-01,22:00,100
2024-07-02,15:00,130
2024-07-02,15:00,100
2024-07-03,15:00,150
2024-07-04,22:00,100
2024-07-04,15:00,120
2024-07-05,22:00,120
2024-07-08,22:00,130
2024-07-08,22:00,120
2024-07-09,22:00,130
2024-07-09,15:00,140
2024-07-09,15:00,60
2024-07-10,22:00,140
2024-07-11,15:00,100
2024-07-11,22:00,150
2024-07-12,15:00,120
2024-07-15,22:00,150
2024-07-15,15:00,150
2024-07-16,15:00,140
2024-07-16,15:00,140
2024-07-17,15:00,160
2024-07-17,22:00,170
2024-07-18,22:00,100
2024-07-18,22:00,120
2024-07-19,22:00,80
2024-07-22,22:00,180
2024-07-22,22:00,130
2024-07-23,15:00,160
2024-07-23,15:00,90
2024-07-23,22:00,90
2024-07-24,15:00,110
2024-07-24,15:00,110
2024-07-25,15:00,140
2024-07-25,22:00,130
2024-07-26,22:00,150
2024-07-26,22:00,170
2024-07-29,22:00,90
2024-07-29,22:00,150
2024-07-30,22:00,200
2024-07-31,22:00,170
2024-07-31,15:00,140
2024-08-01,22:00,100
2024-08-01,15:00,140
2024-08-02,22:00,110
2024-08-02,22:00,110
2024-08-05,22:00,110
2024-08-06,15:00,140
2024-08-06,15:00,130
2024-08-07,15:00,130
2024-08-07,22:00,110
2024-08-08,15:00,170
2024-08-09,22:00,130
2024-08-09,15:00,130
2024-08-12,15:00,100
2024-08-13,15:00,150
2024-08-13,15:00,120
2024-08-14,22:00,90
2024-08-14,22:00,150
2024-08-14,22:00,160
2024-08-15,15:00,100
2024-08-16,15:00,160
2024-08-16,22:00,170
2024-08-16,22:00,130
2024-08-19,15:00,120
2024-08-20,22:00,130
2024-08-21,22:00,170
2024-08-21,15:00,80
2024-08-21,22:00,70
2024-08-22,22:00,190
2024-08-22,22:00,150
2024-08-23,15:00,100
2024-08-23,22:00,140
2024-08-23,22:00,150
2024-08-26,22:00,130
2024-08-27,15:00,90
2024-08-27,22:00,150
2024-08-27,15:00,160
2024-08-28,15:00,110
2024-08-29,15:00,130
2024-08-30,22:00,120
2024-08-30,15:00,150
2024-09-02,15:00,140
2024-09-02,15:00,120
2024-09-03,15:00,150
2024-09-03,15:00,90
2024-09-04,15:00,120
2024-09-04,15:00,130
2024-09-05,22:00,170
2024-09-05,15:00,90
2024-09-06,22:00,180
2024-09-06,15:00,150
2024-09-09,15:00,180
2024-09-09,22:00,140
2024-09-09,15:00,180
2024-09-10,22:00,100
2024-09-10,15:00,150
2024-09-11,22:00,110
2024-09-11,15:00,170
2024-09-12,15:00,140
2024-09-12,15:00,90
2024-09-12,22:00,160
2024-09-13,15:00,140
2024-09-13,22:00,170
2024-09-16,15:00,110
2024-09-16,15:00,150
2024-09-16,22:00,120
2024-09-17,15:00,130
2024-09-17,15:00,170
2024-09-17,15:00,80
2024-09-18,15:00,100
2024-09-18,22:00,90
2024-09-19,22:00,180
2024-09-19,22:00,110
2024-09-20,22:00,170
2024-09-20,15:00,110
2024-09-20,22:00,150
2024-09-23,22:00,140
2024-09-23,22:00,120
2024-09-24,22:00,110
2024-09-25,22:00,110
2024-09-25,22:00,120
2024-09-26,15:00,100
2024-09-26,22:00,110
2024-09-26,15:00,70
2024-09-27,22:00,130
2024-09-27,15:00,150
2024-09-30,22:00,180
2024-10-01,15:00,170
2024-10-01,15:00,100
2024-10-02,15:00,140
2024-10-04,22:00,100
2024-10-04,15:00,120
2024-10-07,15:00,120
2024-10-07,15:00,90
2024-10-08,22:00,100
2024-10-08,22:00,140
2024-10-09,22:00,170
2024-10-09,22:00,150
2024-10-10,15:00,160
2024-10-10,15:00,110
2024-10-11,22:00,160
2024-10-11,15:00,150
2024-10-14,22:00,130
2024-10-15,22:00,120
2024-10-15,22:00,180
2024-10-16,15:00,120
2024-10-16,15:00,140
2024-10-17,22:00,170
2024-10-17,15:00,200
2024-10-18,22:00,190
2024-10-21,22:00,160
2024-10-22,15:00,140
2024-10-22,15:00,100
2024-10-23,15:00,140
2024-10-23,15:00,110
2024-10-24,22:00,150
2024-10-25,15:00,130
2024-10-28,22:00,60
2024-10-28,15:00,130
2024-10-29,15:00,140
2024-10-30,22:00,110
2024-10-31,15:00,180
2024-10-31,15:00,130
2024-11-04,22:00,120
2024-11-05,15:00,100
2024-11-05,15:00,80
2024-11-06,15:00,140
2024-11-06,22:00,160
2024-11-06,15:00,140
2024-11-07,15:00,140
2024-11-07,22:00,140
2024-11-08,22:00,110
2024-11-08,15:00,100
2024-11-11,15:00,100
2024-11-12,22:00,120
2024-11-13,22:00,120
2024-11-14,15:00,170
2024-11-14,15:00,100
2024-11-15,15:00,140
2024-11-18,22:00,110
2024-11-18,22:00,120
2024-11-19,22:00,190
2024-11-19,15:00,130
2024-11-19,22:00,140
2024-11-20,15:00,130
2024-11-21,22:00,120
2024-11-21,15:00,120
2024-11-21,22:00,130
2024-11-22,15:00,170
2024-11-22,22:00,120
2024-11-25,15:00,140
2024-11-25,22:00,110
2024-11-26,15:00,90
2024-11-27,15:00,130
2024-11-28,15:00,130
2024-11-29,22:00,110
2024-11-29,22:00,110
2024-12-02,15:00,120
2024-12-02,22:00,120
2024-12-03,15:00,140
2024-12-03,22:00,160
2024-12-03,15:00,110
2024-12-04,22:00,100
2024-12-05,15:00,150
2024-12-05,15:00,150
2024-12-06,15:00,160
2024-12-06,22:00,150
2024-12-09,22:00,80
2024-12-10,15:00,110
2024-12-10,15:00,140
2024-12-11,22:00,140
2024-12-12,15:00,70
2024-12-12,22:00,120
2024-12-12,22:00,140
2024-12-13,15:00,180
2024-12-13,15:00,150
2024-12-16,15:00,100
2024-12-17,15:00,130
2024-12-18,15:00,160
2024-12-19,15:00,110
2024-12-20,22:00,100
2024-12-20,15:00,100
2024-12-23,15:00,100
2024-12-24,15:00,150
2024-12-24,15:00,80
2024-12-26,15:00,120
2024-12-27,22:00,150
2024-12-27,15:00,190
2024-12-30,22:00,170
2024-12-31,15:00,150
2024-12-31,22:00,130
